Song(title=$10, artist=Hitchhiker, genre=Electronic, year=2016, timesPlayed=183)
Song(title=Havana, artist=Camila Cabello, genre=R&B, year=2017, timesPlayed=324)
Song(title=Cassidy, artist=Grateful Dead, genre=Rock, year=1972, timesPlayed=123)
Song(title=50 ways, artist=Paul Simon, genre=Soft Rock, year=1975, timesPlayed=199)
Song(title=Hurt, artist=Nine Inch Nails, genre=Industrial Rock, year=1995, timesPlayed=257)
Song(title=Silence, artist=Delerium, genre=Electronic, year=1999, timesPlayed=134)
Song(title=Hurt, artist=Johnny Cash, genre=Soft Rock, year=2002, timesPlayed=392)
Song(title=Watercolour, artist=Pendulum, genre=Electronic, year=2010, timesPlayed=155)
Song(title=The Outsider, artist=A Perfect Circle, genre=Alternative Rock, year=2004, timesPlayed=312)
Song(title=With a Little Help from My Friends, artist=The Beatles, genre=Rock, year=1967, timesPlayed=168)
Song(title=Come Together, artist=The Beatles, genre=Blues rock, year=1968, timesPlayed=173)
Song(title=Come Together, artist=Ike & Tina Turner, genre=Rock, year=1970, timesPlayed=165)
Song(title=With a Little Help from My Friends, artist=Joe Cocker, genre=Rock, year=1968, timesPlayed=46)
Song(title=Immigrant Song, artist=Karen O, genre=Industrial Rock, year=2011, timesPlayed=12)
Song(title=Breathe, artist=The Prodigy, genre=Electronic, year=1996, timesPlayed=337)
Song(title=What's Going On, artist=Gaye, genre=R&B, year=1971, timesPlayed=420)
Song(title=Hallucinate, artist=Dua Lipa, genre=Pop, year=2020, timesPlayed=75)
Song(title=Walk Me Home, artist=P!nk, genre=Pop, year=2019, timesPlayed=459)
Song(title=I am not a woman, I'm a god, artist=Halsey, genre=Alternative Rock, year=2021, timesPlayed=384)
Song(title=Pasos de cero, artist=Pablo Alborán, genre=Latin, year=2014, timesPlayed=117)
Song(title=Smooth, artist=Santana, genre=Latin, year=1999, timesPlayed=244)
Song(title=Immigrant song, artist=Led Zeppelin, genre=Rock, year=1970, timesPlayed=484)
